Timestamp,Señal con ruido,Señal filtrada
2025-11-21T00:38:50.668Z,-0.10109999775886536,-0.13680000603199005
2025-11-21T00:38:50.673Z,-0.0674000009894371,-0.1152999997138977
2025-11-21T00:38:50.677Z,-0.05220000073313713,-0.10530000180006027
2025-11-21T00:38:50.684Z,-0.057100001722574234,-0.10729999840259552
2025-11-21T00:38:50.686Z,-0.08110000193119049,-0.12060000002384186
2025-11-21T00:38:50.690Z,-0.11869999766349792,-0.1412999927997589
2025-11-21T00:38:50.699Z,-0.16359999775886536,-0.1656000018119812
2025-11-21T00:38:50.703Z,-0.20900000631809235,-0.18979999423027039
2025-11-21T00:38:50.706Z,-0.24709999561309814,-0.20919999480247498
2025-11-21T00:38:50.714Z,-0.2709999978542328,-0.22010000050067902
2025-11-21T00:38:50.717Z,-0.27639999985694885,-0.22010000050067902
2025-11-21T00:38:50.719Z,-0.2621999979019165,-0.20919999480247498
2025-11-21T00:38:50.727Z,-0.23000000417232513,-0.18850000202655792
2025-11-21T00:38:50.733Z,-0.18359999358654022,-0.16030000150203705
2025-11-21T00:38:50.737Z,-0.12939999997615814,-0.1281999945640564
2025-11-21T00:38:50.739Z,-0.07569999992847443,-0.09719999879598618
2025-11-21T00:38:50.748Z,-0.02979999966919422,-0.07109999656677246
2025-11-21T00:38:50.753Z,0.002400000113993883,-0.05270000174641609
2025-11-21T00:38:50.757Z,0.015599999576807022,-0.045099999755620956
2025-11-21T00:38:50.759Z,0.00930000003427267,-0.04780000075697899
2025-11-21T00:38:50.770Z,-0.016100000590085983,-0.06069999933242798
2025-11-21T00:38:50.773Z,-0.05570000037550926,-0.08089999854564667
2025-11-21T00:38:50.778Z,-0.10249999910593033,-0.10419999808073044
2025-11-21T00:38:50.782Z,-0.14990000426769257,-0.1273999959230423
2025-11-21T00:38:50.785Z,-0.18950000405311584,-0.1459999978542328
2025-11-21T00:38:50.792Z,-0.21529999375343323,-0.1573999971151352
2025-11-21T00:38:50.802Z,-0.22310000658035278,-0.15940000116825104
2025-11-21T00:38:50.802Z,-0.21089999377727509,-0.15109999477863312
2025-11-21T00:38:50.806Z,-0.18019999563694,-0.13359999656677246
2025-11-21T00:38:50.810Z,-0.13619999587535858,-0.11020000278949738
2025-11-21T00:38:50.817Z,-0.08399999886751175,-0.0828000009059906
2025-11-21T00:38:50.821Z,-0.03269999846816063,-0.05700000002980232
2025-11-21T00:38:50.825Z,0.01119999960064888,-0.03500000014901161
2025-11-21T00:38:50.837Z,0.04100000113248825,-0.020500000566244125
2025-11-21T00:38:50.837Z,0.05220000073313713,-0.015200000256299973
